city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21
10018000,總計,計,"447,952","24,226","3,794","4,460","4,761","5,398","5,813","27,352","5,727","5,782","6,087","5,043","4,713","25,275","5,199","5,249","5,024","4,983","4,820","26,213","4,811","5,021","5,154","5,570","5,657","27,430","5,236","5,096","5,780","5,769","5,549","27,708","5,407","5,581","5,450","5,562","5,708","29,391","5,604","5,689","5,645","5,823","6,630","41,364","7,304","7,799","8,493","8,828","8,940","41,660","8,786","8,529","8,566","8,309","7,470","34,786","7,032","6,890","6,961","7,008","6,895","32,216","6,982","6,561","6,166","6,270","6,237","29,377","6,037","6,115","6,014","5,600","5,611","25,611","5,529","5,242","4,821","5,008","5,011","20,886","4,652","4,361","4,359","4,092","3,422","12,218","3,241","2,660","2,538","1,909","1,870","9,444","2,049","1,995","1,973","1,717","1,710","6,402","1,552","1,363","1,323","1,110","1,054","3,869",898,835,779,705,652,"1,955",546,493,380,288,248,499,176,139,81,64,39,70
10018000,總計,男,"220,885","12,421","1,950","2,271","2,418","2,750","3,032","14,214","2,962","2,988","3,170","2,633","2,461","13,264","2,748","2,850","2,568","2,627","2,471","13,663","2,519","2,605","2,725","2,900","2,914","14,203","2,724","2,639","3,001","2,975","2,864","14,262","2,775","2,851","2,812","2,905","2,919","14,606","2,850","2,860","2,802","2,904","3,190","19,836","3,489","3,719","4,108","4,210","4,310","20,187","4,167","4,074","4,176","4,048","3,722","17,077","3,489","3,365","3,421","3,394","3,408","15,955","3,363","3,294","3,085","3,098","3,115","14,448","2,978","3,054","2,978","2,755","2,683","12,137","2,664","2,557","2,205","2,348","2,363","9,731","2,216","2,068","1,983","1,885","1,579","5,542","1,487","1,227","1,188",840,800,"3,931",879,858,816,697,681,"2,542",628,539,524,435,416,"1,650",349,332,358,312,299,947,243,239,185,161,119,235,86,63,36,31,19,34
10018000,總計,女,"227,067","11,805","1,844","2,189","2,343","2,648","2,781","13,138","2,765","2,794","2,917","2,410","2,252","12,011","2,451","2,399","2,456","2,356","2,349","12,550","2,292","2,416","2,429","2,670","2,743","13,227","2,512","2,457","2,779","2,794","2,685","13,446","2,632","2,730","2,638","2,657","2,789","14,785","2,754","2,829","2,843","2,919","3,440","21,528","3,815","4,080","4,385","4,618","4,630","21,473","4,619","4,455","4,390","4,261","3,748","17,709","3,543","3,525","3,540","3,614","3,487","16,261","3,619","3,267","3,081","3,172","3,122","14,929","3,059","3,061","3,036","2,845","2,928","13,474","2,865","2,685","2,616","2,660","2,648","11,155","2,436","2,293","2,376","2,207","1,843","6,676","1,754","1,433","1,350","1,069","1,070","5,513","1,170","1,137","1,157","1,020","1,029","3,860",924,824,799,675,638,"2,219",549,503,421,393,353,"1,008",303,254,195,127,129,264,90,76,45,33,20,36
10018010,東區,計,"217,244","12,771","1,922","2,258","2,468","2,987","3,136","15,894","3,220","3,286","3,489","3,041","2,858","14,907","3,192","3,197","3,073","2,838","2,607","13,012","2,509","2,534","2,551","2,699","2,719","12,441","2,466","2,360","2,623","2,553","2,439","12,252","2,382","2,550","2,336","2,500","2,484","13,555","2,574","2,597","2,636","2,691","3,057","19,819","3,359","3,705","4,106","4,240","4,409","20,853","4,343","4,284","4,261","4,233","3,732","16,831","3,433","3,394","3,335","3,414","3,255","14,934","3,315","3,048","2,856","2,830","2,885","13,121","2,774","2,730","2,646","2,503","2,468","11,530","2,496","2,368","2,194","2,224","2,248","9,262","1,976","1,936","1,982","1,833","1,535","5,547","1,497","1,199","1,143",871,837,"4,342",926,923,889,787,817,"3,075",712,658,673,537,495,"1,838",424,392,377,334,311,964,279,242,180,143,120,257,80,73,47,34,23,39
10018010,東區,男,"106,733","6,501",982,"1,127","1,234","1,522","1,636","8,294","1,695","1,688","1,844","1,582","1,485","7,865","1,696","1,748","1,584","1,503","1,334","6,734","1,317","1,284","1,307","1,406","1,420","6,445","1,269","1,244","1,341","1,335","1,256","6,280","1,210","1,313","1,195","1,280","1,282","6,620","1,309","1,276","1,300","1,305","1,430","9,360","1,575","1,770","1,976","1,979","2,060","9,821","1,951","1,948","2,043","2,054","1,825","8,168","1,686","1,638","1,605","1,644","1,595","7,437","1,612","1,584","1,409","1,392","1,440","6,515","1,363","1,370","1,300","1,285","1,197","5,497","1,218","1,147","1,018","1,041","1,073","4,332",942,957,909,819,705,"2,474",662,554,519,381,358,"1,779",395,384,345,313,342,"1,203",283,259,255,204,202,800,163,161,179,148,149,468,121,117,88,77,65,117,33,35,25,13,11,23
10018010,東區,女,"110,511","6,270",940,"1,131","1,234","1,465","1,500","7,600","1,525","1,598","1,645","1,459","1,373","7,042","1,496","1,449","1,489","1,335","1,273","6,278","1,192","1,250","1,244","1,293","1,299","5,996","1,197","1,116","1,282","1,218","1,183","5,972","1,172","1,237","1,141","1,220","1,202","6,935","1,265","1,321","1,336","1,386","1,627","10,459","1,784","1,935","2,130","2,261","2,349","11,032","2,392","2,336","2,218","2,179","1,907","8,663","1,747","1,756","1,730","1,770","1,660","7,497","1,703","1,464","1,447","1,438","1,445","6,606","1,411","1,360","1,346","1,218","1,271","6,033","1,278","1,221","1,176","1,183","1,175","4,930","1,034",979,"1,073","1,014",830,"3,073",835,645,624,490,479,"2,563",531,539,544,474,475,"1,872",429,399,418,333,293,"1,038",261,231,198,186,162,496,158,125,92,66,55,140,47,38,22,21,12,16
10018020,北區,計,"152,163","7,448","1,163","1,434","1,483","1,574","1,794","8,237","1,724","1,782","1,885","1,485","1,361","7,233","1,436","1,503","1,368","1,475","1,451","8,509","1,467","1,620","1,697","1,816","1,909","9,595","1,812","1,752","1,987","2,072","1,972","9,708","1,944","1,872","1,965","1,889","2,038","10,115","1,947","1,977","1,899","2,002","2,290","13,857","2,527","2,610","2,824","2,945","2,951","13,672","2,930","2,711","2,888","2,690","2,453","11,739","2,299","2,281","2,406","2,344","2,409","11,422","2,397","2,362","2,194","2,286","2,183","10,525","2,075","2,223","2,173","2,013","2,041","9,401","1,987","1,932","1,779","1,840","1,863","7,853","1,754","1,592","1,653","1,543","1,311","4,606","1,221","1,011",973,721,680,"3,567",798,731,740,658,640,"2,313",561,494,452,418,388,"1,426",304,319,281,268,254,745,204,184,144,112,101,179,67,52,22,23,15,13
10018020,北區,男,"74,291","3,846",608,753,766,800,919,"4,228",852,915,971,775,715,"3,773",755,813,675,773,757,"4,419",745,838,926,938,972,"4,923",944,873,"1,033","1,037","1,036","5,051","1,007",968,"1,010","1,018","1,048","5,056",986,"1,006",930,999,"1,135","6,531","1,202","1,192","1,354","1,367","1,416","6,646","1,431","1,303","1,395","1,292","1,225","5,688","1,132","1,077","1,170","1,130","1,179","5,555","1,132","1,120","1,102","1,113","1,088","5,080","1,037","1,089","1,072",950,932,"4,367",930,953,785,839,860,"3,611",817,724,744,722,604,"2,083",572,460,456,316,279,"1,457",344,313,300,262,238,919,227,198,175,170,149,585,114,123,115,123,110,371,93,89,77,66,46,96,41,23,9,16,7,6
10018020,北區,女,"77,872","3,602",555,681,717,774,875,"4,009",872,867,914,710,646,"3,460",681,690,693,702,694,"4,090",722,782,771,878,937,"4,672",868,879,954,"1,035",936,"4,657",937,904,955,871,990,"5,059",961,971,969,"1,003","1,155","7,326","1,325","1,418","1,470","1,578","1,535","7,026","1,499","1,408","1,493","1,398","1,228","6,051","1,167","1,204","1,236","1,214","1,230","5,867","1,265","1,242","1,092","1,173","1,095","5,445","1,038","1,134","1,101","1,063","1,109","5,034","1,057",979,994,"1,001","1,003","4,242",937,868,909,821,707,"2,523",649,551,517,405,401,"2,110",454,418,440,396,402,"1,394",334,296,277,248,239,841,190,196,166,145,144,374,111,95,67,46,55,83,26,29,13,7,8,7
10018030,香山區,計,"78,545","4,007",709,768,810,837,883,"3,221",783,714,713,517,494,"3,135",571,549,583,670,762,"4,692",835,867,906,"1,055","1,029","5,394",958,984,"1,170","1,144","1,138","5,748","1,081","1,159","1,149","1,173","1,186","5,721","1,083","1,115","1,110","1,130","1,283","7,688","1,418","1,484","1,563","1,643","1,580","7,135","1,513","1,534","1,417","1,386","1,285","6,216","1,300","1,215","1,220","1,250","1,231","5,860","1,270","1,151","1,116","1,154","1,169","5,731","1,188","1,162","1,195","1,084","1,102","4,680","1,046",942,848,944,900,"3,771",922,833,724,716,576,"2,065",523,450,422,317,353,"1,535",325,341,344,272,253,"1,014",279,211,198,155,171,605,170,124,121,103,87,246,63,67,56,33,27,63,29,14,12,7,1,18
10018030,香山區,男,"39,861","2,074",360,391,418,428,477,"1,692",415,385,355,276,261,"1,626",297,289,309,351,380,"2,510",457,483,492,556,522,"2,835",511,522,627,603,572,"2,931",558,570,607,607,589,"2,930",555,578,572,600,625,"3,945",712,757,778,864,834,"3,720",785,823,738,702,672,"3,221",671,650,646,620,634,"2,963",619,590,574,593,587,"2,853",578,595,606,520,554,"2,273",516,457,402,468,430,"1,788",457,387,330,344,270,985,253,213,213,143,163,695,140,161,171,122,101,420,118,82,94,61,65,265,72,48,64,41,40,108,29,33,20,18,8,22,12,5,2,2,1,5
10018030,香山區,女,"38,684","1,933",349,377,392,409,406,"1,529",368,329,358,241,233,"1,509",274,260,274,319,382,"2,182",378,384,414,499,507,"2,559",447,462,543,541,566,"2,817",523,589,542,566,597,"2,791",528,537,538,530,658,"3,743",706,727,785,779,746,"3,415",728,711,679,684,613,"2,995",629,565,574,630,597,"2,897",651,561,542,561,582,"2,878",610,567,589,564,548,"2,407",530,485,446,476,470,"1,983",465,446,394,372,306,"1,080",270,237,209,174,190,840,185,180,173,150,152,594,161,129,104,94,106,340,98,76,57,62,47,138,34,34,36,15,19,41,17,9,10,5,0,13
